Date,Day,Conical,Treatment,Larvae,Volume,Sample,ConicalVol
7/5/19,0,C14,C,17,5,1,18000
7/5/19,0,C14,C,17,5,2,18000
7/5/19,0,C14,C,25,5,3,18000
7/5/19,0,C14,C,10,5,4,18000
7/5/19,0,C16,C,24,5,1,18000
7/5/19,0,C16,C,13,5,2,18000
7/5/19,0,C16,C,20,5,3,18000
7/5/19,0,C16,C,22,5,4,18000
7/5/19,0,C6,A,26,5,1,18000
7/5/19,0,C6,A,22,5,2,18000
7/5/19,0,C6,A,33,5,3,18000
7/5/19,0,C6,A,14,5,4,18000
7/5/19,0,C7,A,33,5,1,18000
7/5/19,0,C7,A,24,5,2,18000
7/5/19,0,C7,A,15,5,3,18000
7/5/19,0,C7,A,11,5,4,18000
7/5/19,0,C1,A,51,5,1,18000
7/5/19,0,C1,A,46,5,2,18000
7/5/19,0,C1,A,8,5,3,18000
7/5/19,0,C1,A,26,5,4,18000
7/5/19,0,C3,A,14,5,1,18000
7/5/19,0,C3,A,16,5,2,18000
7/5/19,0,C3,A,9,5,3,18000
7/5/19,0,C3,A,12,5,4,18000
7/5/19,0,C2-5,H,5,5,1,2000
7/5/19,0,C2-5,H,16,5,2,2000
7/5/19,0,C2-5,H,19,5,3,2000
7/5/19,0,C2-5,H,14,5,4,2000
7/5/19,0,C2-3,H,7,5,1,2000
7/5/19,0,C2-3,H,17,5,2,2000
7/5/19,0,C2-3,H,13,5,3,2000
7/5/19,0,C2-3,H,14,5,4,2000
7/5/19,0,C2-15,H,13,5,1,2000
7/5/19,0,C2-15,H,11,5,2,2000
7/5/19,0,C2-15,H,6,5,3,2000
7/5/19,0,C2-15,H,14,5,4,2000
7/5/19,0,C2-17,H,7,5,1,2000
7/5/19,0,C2-17,H,4,5,2,2000
7/5/19,0,C2-17,H,8,5,3,2000
7/5/19,0,C2-17,H,14,5,4,2000
7/5/19,0,C10,C,19,5,1,18000
7/5/19,0,C10,C,25,5,2,18000
7/5/19,0,C10,C,8,5,3,18000
7/5/19,0,C10,C,21,5,4,18000
7/5/19,0,C11,C,39,5,1,18000
7/5/19,0,C11,C,22,5,2,18000
7/5/19,0,C11,C,35,5,3,18000
7/5/19,0,C11,C,24,5,4,18000
7/6/19,1,C14,C,12,5,1,18000
7/6/19,1,C14,C,21,5,2,18000
7/6/19,1,C14,C,21,5,3,18000
7/6/19,1,C14,C,18,5,4,18000
7/6/19,1,C16,C,22,5,1,18000
7/6/19,1,C16,C,27,5,2,18000
7/6/19,1,C16,C,15,5,3,18000
7/6/19,1,C16,C,19,5,4,18000
7/6/19,1,C6,A,22,5,1,18000
7/6/19,1,C6,A,16,5,2,18000
7/6/19,1,C6,A,6,5,3,18000
7/6/19,1,C6,A,11,5,4,18000
7/6/19,1,C7,A,16,5,1,18000
7/6/19,1,C7,A,16,5,2,18000
7/6/19,1,C7,A,18,5,3,18000
7/6/19,1,C7,A,15,5,4,18000
7/6/19,1,C1,A,10,5,1,18000
7/6/19,1,C1,A,24,5,2,18000
7/6/19,1,C1,A,16,5,3,18000
7/6/19,1,C1,A,9,5,4,18000
7/6/19,1,C3,A,20,5,1,18000
7/6/19,1,C3,A,22,5,2,18000
7/6/19,1,C3,A,22,5,3,18000
7/6/19,1,C3,A,5,5,4,18000
7/6/19,1,C2-5,H,11,5,1,2000
7/6/19,1,C2-5,H,14,5,2,2000
7/6/19,1,C2-5,H,9,5,3,2000
7/6/19,1,C2-5,H,13,5,4,2000
7/6/19,1,C2-3,H,19,5,1,2000
7/6/19,1,C2-3,H,15,5,2,2000
7/6/19,1,C2-3,H,19,5,3,2000
7/6/19,1,C2-3,H,22,5,4,2000
7/6/19,1,C2-15,H,10,5,1,2000
7/6/19,1,C2-15,H,14,5,2,2000
7/6/19,1,C2-15,H,5,5,3,2000
7/6/19,1,C2-15,H,12,5,4,2000
7/6/19,1,C2-17,H,11,5,1,2000
7/6/19,1,C2-17,H,15,5,2,2000
7/6/19,1,C2-17,H,6,5,3,2000
7/6/19,1,C2-17,H,11,5,4,2000
7/7/19,2,C10,C,4,5,1,18000
7/7/19,2,C10,C,7,5,2,18000
7/7/19,2,C10,C,14,5,3,18000
7/7/19,2,C10,C,19,5,4,18000
7/7/19,2,C11,C,18,5,1,18000
7/7/19,2,C11,C,10,5,2,18000
7/7/19,2,C11,C,11,5,3,18000
7/7/19,2,C11,C,10,5,4,18000
7/8/19,3,C16,C,4,5,1,18000
7/8/19,3,C16,C,2,5,2,18000
7/8/19,3,C16,C,4,5,3,18000
7/8/19,3,C16,C,2,5,4,18000
7/8/19,3,C14,C,6,5,1,18000
7/8/19,3,C14,C,4,5,2,18000
7/8/19,3,C14,C,3,5,3,18000
7/8/19,3,C14,C,2,5,4,18000
7/8/19,3,C10,C,6,5,1,18000
7/8/19,3,C10,C,19,5,2,18000
7/8/19,3,C10,C,11,5,3,18000
7/8/19,3,C10,C,9,5,4,18000
7/8/19,3,C11,C,1,5,1,18000
7/8/19,3,C11,C,6,5,2,18000
7/8/19,3,C11,C,4,5,3,18000
7/8/19,3,C11,C,4,5,4,18000
7/8/19,3,C11,C,2,5,1,18000
7/8/19,3,C6,A,17,5,2,18000
7/8/19,3,C6,A,20,5,3,18000
7/8/19,3,C6,A,15,5,4,18000
7/8/19,3,C6,A,17,5,1,18000
7/8/19,3,C7,A,22,5,2,18000
7/8/19,3,C7,A,20,5,3,18000
7/8/19,3,C7,A,8,5,4,18000
7/8/19,3,C7,A,12,5,1,18000
7/8/19,3,C3,A,16,5,2,18000
7/8/19,3,C3,A,17,5,3,18000
7/8/19,3,C3,A,8,5,4,18000
7/8/19,3,C1,A,5,5,1,18000
7/8/19,3,C1,A,1,5,2,18000
7/8/19,3,C1,A,1,5,3,18000
7/8/19,3,C1,A,0,5,4,18000
7/8/19,3,C2-3,H,2,5,1,2000
7/8/19,3,C2-3,H,7,5,2,2000
7/8/19,3,C2-3,H,4,5,3,2000
7/8/19,3,C2-3,H,1,5,4,2000
7/8/19,3,C2-5,H,1,5,1,2000
7/8/19,3,C2-5,H,3,5,2,2000
7/8/19,3,C2-5,H,0,5,3,2000
7/8/19,3,C2-5,H,3,5,4,2000
7/8/19,3,C2-15,H,3,5,1,2000
7/8/19,3,C2-15,H,3,5,2,2000
7/8/19,3,C2-15,H,1,5,3,2000
7/8/19,3,C2-15,H,6,5,4,2000
7/8/19,3,C2-17,H,3,5,1,2000
7/8/19,3,C2-17,H,4,5,2,2000
7/8/19,3,C2-17,H,12,5,3,2000
7/8/19,3,C2-17,H,6,5,4,2000
7/9/19,4,C2-3,H,3,5,1,2000
7/9/19,4,C2-3,H,0,5,2,2000
7/9/19,4,C2-3,H,4,5,3,2000
7/9/19,4,C2-3,H,3,5,4,2000
7/9/19,4,C2-5,H,1,5,1,2000
7/9/19,4,C2-5,H,4,5,2,2000
7/9/19,4,C2-5,H,3,5,3,2000
7/9/19,4,C2-5,H,2,5,4,2000
7/9/19,4,C2-15,H,1,5,1,2000
7/9/19,4,C2-15,H,4,5,2,2000
7/9/19,4,C2-15,H,1,5,3,2000
7/9/19,4,C2-15,H,7,5,4,2000
7/9/19,4,C2-17,H,1,5,1,2000
7/9/19,4,C2-17,H,3,5,2,2000
7/9/19,4,C2-17,H,2,5,3,2000
7/9/19,4,C2-17,H,3,5,4,2000
7/9/19,4,C1,A,1,5,1,18000
7/9/19,4,C1,A,0,5,2,18000
7/9/19,4,C1,A,6,5,3,18000
7/9/19,4,C1,A,1,5,4,18000
7/9/19,4,C3,A,10,5,1,18000
7/9/19,4,C3,A,7,5,2,18000
7/9/19,4,C3,A,9,5,3,18000
7/9/19,4,C3,A,11,5,4,18000
7/9/19,4,C6,A,20,5,1,18000
7/9/19,4,C6,A,8,5,2,18000
7/9/19,4,C6,A,15,5,3,18000
7/9/19,4,C6,A,16,5,4,18000
7/9/19,4,C7,A,31,5,1,18000
7/9/19,4,C7,A,17,5,2,18000
7/9/19,4,C7,A,15,5,3,18000
7/9/19,4,C7,A,19,5,4,18000
7/9/19,4,C10,C,4,5,1,18000
7/9/19,4,C10,C,1,5,2,18000
7/9/19,4,C10,C,4,5,3,18000
7/9/19,4,C10,C,4,5,4,18000
7/9/19,4,C11,C,10,5,1,18000
7/9/19,4,C11,C,3,5,2,18000
7/9/19,4,C11,C,2,5,3,18000
7/9/19,4,C11,C,4,5,4,18000
7/9/19,4,C14,C,2,5,1,18000
7/9/19,4,C14,C,2,5,2,18000
7/9/19,4,C14,C,4,5,3,18000
7/9/19,4,C14,C,0,5,4,18000
7/9/19,4,C16,C,3,5,1,18000
7/9/19,4,C16,C,1,5,2,18000
7/9/19,4,C16,C,1,5,3,18000
7/9/19,4,C16,C,0,5,4,18000