Plot Title: Cold_L6_10779060,,,,,,
#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 10779060, SEN S/N: 10779060)",Coupler Detached (LGR S/N: 10779060),Coupler Attached (LGR S/N: 10779060),Host Connected (LGR S/N: 10779060),End Of File (LGR S/N: 10779060)
1,6/26/19 15:15,24.726,Logged,,,
2,6/26/19 15:30,24.677,,,,
3,6/26/19 15:45,24.653,,24.05075207,,
4,6/26/19 16:00,24.605,,,,
5,6/26/19 16:15,24.557,,,,
6,6/26/19 16:30,24.508,,,,
7,6/26/19 16:45,24.46,,,,
8,6/26/19 17:00,24.46,,,,
9,6/26/19 17:15,24.508,,,,
10,6/26/19 17:30,24.484,,,,
11,6/26/19 17:45,24.484,,,,
12,6/26/19 18:00,24.46,,,,
13,6/26/19 18:15,24.412,,,,
14,6/26/19 18:30,24.388,,,,
15,6/26/19 18:45,24.363,,,,
16,6/26/19 19:00,24.339,,,,
17,6/26/19 19:15,24.315,,,,
18,6/26/19 19:30,24.315,,,,
19,6/26/19 19:45,24.315,,,,
20,6/26/19 20:00,24.291,,,,
21,6/26/19 20:15,24.291,,,,
22,6/26/19 20:30,24.267,,,,
23,6/26/19 20:45,24.267,,,,
24,6/26/19 21:00,24.267,,,,
25,6/26/19 21:15,24.267,,,,
26,6/26/19 21:30,24.243,,,,
27,6/26/19 21:45,24.243,,,,
28,6/26/19 22:00,24.243,,,,
29,6/26/19 22:15,24.243,,,,
30,6/26/19 22:30,24.219,,,,
31,6/26/19 22:45,24.219,,,,
32,6/26/19 23:00,24.219,,,,
33,6/26/19 23:15,24.195,,,,
34,6/26/19 23:30,24.195,,,,
35,6/26/19 23:45,24.171,,,,
36,6/27/19 00:00,24.171,,,,
37,6/27/19 00:15,24.171,,,,
38,6/27/19 00:30,24.146,,,,
39,6/27/19 00:45,24.146,,,,
40,6/27/19 01:00,24.146,,,,
41,6/27/19 01:15,24.122,,,,
42,6/27/19 01:30,24.122,,,,
43,6/27/19 01:45,24.122,,,,
44,6/27/19 02:00,24.122,,,,
45,6/27/19 02:15,24.122,,,,
46,6/27/19 02:30,24.098,,,,
47,6/27/19 02:45,24.098,,,,
48,6/27/19 03:00,24.098,,,,
49,6/27/19 03:15,24.098,,,,
50,6/27/19 03:30,24.098,,,,
51,6/27/19 03:45,24.074,,,,
52,6/27/19 04:00,24.074,,,,
53,6/27/19 04:15,24.05,,,,
54,6/27/19 04:30,24.05,,,,
55,6/27/19 04:45,24.026,,,,
56,6/27/19 05:00,24.026,,,,
57,6/27/19 05:15,24.026,,,,
58,6/27/19 05:30,24.026,,,,
59,6/27/19 05:45,24.05,,,,
60,6/27/19 06:00,24.05,,,,
61,6/27/19 06:15,24.074,,,,
62,6/27/19 06:30,24.074,,,,
63,6/27/19 06:45,24.098,,,,
64,6/27/19 07:00,24.122,,,,
65,6/27/19 07:15,24.122,,,,
66,6/27/19 07:30,24.122,,,,
67,6/27/19 07:45,24.146,,,,
68,6/27/19 08:00,24.146,,,,
69,6/27/19 08:15,24.146,,,,
70,6/27/19 08:30,24.171,,,,
71,6/27/19 08:45,24.195,,,,
72,6/27/19 09:00,24.195,,,,
73,6/27/19 09:15,24.219,,,,
74,6/27/19 09:30,24.219,,,,
75,6/27/19 09:45,24.219,,,,
76,6/27/19 10:00,24.219,,,,
77,6/27/19 10:15,24.219,,,,
78,6/27/19 10:30,24.219,,,,
79,6/27/19 10:45,24.243,,,,
80,6/27/19 11:00,24.243,,,,
81,6/27/19 11:15,24.267,,,,
82,6/27/19 11:30,24.291,,,,
83,6/27/19 11:45,24.291,,,,
84,6/27/19 12:00,24.315,,,,
85,6/27/19 12:15,24.339,,,,
86,6/27/19 12:30,24.339,,,,
87,6/27/19 12:45,24.363,,,,
88,6/27/19 13:00,24.339,,,,
89,6/27/19 13:15,24.363,,,,
90,6/27/19 13:30,24.363,,,,
91,6/27/19 13:45,24.363,,,,
92,6/27/19 14:00,24.363,,,,
93,6/27/19 14:15,24.363,,,,
94,6/27/19 14:30,24.412,,,,
95,6/27/19 14:45,24.436,,,,
96,6/27/19 15:00,24.46,,,,
97,6/27/19 15:15,24.484,,,,
98,6/27/19 15:30,24.532,,,,
99,6/27/19 15:45,24.581,,,,
100,6/27/19 16:00,24.629,,,,
101,6/27/19 16:15,24.653,,,,
102,6/27/19 16:30,24.653,,,,
103,6/27/19 16:45,24.702,,,,
104,6/27/19 17:00,24.75,,,,
105,6/27/19 17:15,24.75,,,,
106,6/27/19 17:30,24.75,,,,
107,6/27/19 17:45,24.726,,,,
108,6/27/19 18:00,24.75,,,,
109,6/27/19 18:15,24.726,,,,
110,6/27/19 18:30,24.726,,,,
111,6/27/19 18:45,24.702,,,,
112,6/27/19 19:00,24.702,,,,
113,6/27/19 19:15,24.702,,,,
114,6/27/19 19:30,24.702,,,,
115,6/27/19 19:45,24.702,,,,
116,6/27/19 20:00,24.702,,,,
117,6/27/19 20:15,24.726,,,,
118,6/27/19 20:30,24.75,,,,
119,6/27/19 20:45,24.726,,,,
120,6/27/19 21:00,24.726,,,,
121,6/27/19 21:15,24.726,,,,
122,6/27/19 21:30,24.726,,,,
123,6/27/19 21:45,24.702,,,,
124,6/27/19 22:00,24.677,,,,
125,6/27/19 22:15,24.677,,,,
126,6/27/19 22:30,24.677,,,,
127,6/27/19 22:45,24.653,,,,
128,6/27/19 23:00,24.629,,,,
129,6/27/19 23:15,24.629,,,,
130,6/27/19 23:30,24.605,,,,
131,6/27/19 23:45,24.581,,,,
132,6/28/19 00:00,24.557,,,,
133,6/28/19 00:15,24.557,,,,
134,6/28/19 00:30,24.557,,,,
135,6/28/19 00:45,24.532,,,,
136,6/28/19 01:00,24.557,,,,
137,6/28/19 01:15,24.557,,,,
138,6/28/19 01:30,24.581,,,,
139,6/28/19 01:45,24.605,,,,
140,6/28/19 02:00,24.629,,,,
141,6/28/19 02:15,24.605,,,,
142,6/28/19 02:30,24.629,,,,
143,6/28/19 02:45,24.629,,,,
144,6/28/19 03:00,24.629,,,,
145,6/28/19 03:15,24.629,,,,
146,6/28/19 03:30,24.629,,,,
147,6/28/19 03:45,24.629,,,,
148,6/28/19 04:00,24.629,,,,
149,6/28/19 04:15,24.629,,,,
150,6/28/19 04:30,24.605,,,,
151,6/28/19 04:45,24.629,,,,
152,6/28/19 05:00,24.629,,,,
153,6/28/19 05:15,24.629,,,,
154,6/28/19 05:30,24.629,,,,
155,6/28/19 05:45,24.605,,,,
156,6/28/19 06:00,24.581,,,,
157,6/28/19 06:15,24.581,,,,
158,6/28/19 06:30,24.581,,,,
159,6/28/19 06:45,24.581,,,,
160,6/28/19 07:00,24.557,,,,
161,6/28/19 07:15,24.581,,,,
162,6/28/19 07:30,24.557,,,,
163,6/28/19 07:45,24.581,,,,
164,6/28/19 08:00,24.557,,,,
165,6/28/19 08:15,24.557,,,,
166,6/28/19 08:30,24.605,,,,
167,6/28/19 08:45,24.605,,,,
168,6/28/19 09:00,24.653,,,,
169,6/28/19 09:15,24.653,,,,
170,6/28/19 09:30,24.702,,,,
171,6/28/19 09:45,24.726,,,,
172,6/28/19 10:00,24.702,,,,
173,6/28/19 10:15,24.46,,,,
174,6/28/19 10:30,24.629,,,,
175,6/28/19 10:45,24.823,,,,
176,6/28/19 11:00,24.919,,,,
177,6/28/19 11:15,24.992,,,,
178,6/28/19 11:30,25.016,,,,
179,6/28/19 11:45,25.283,,,,
180,6/28/19 12:00,25.258,,,,
181,6/28/19 12:15,25.089,,,,
182,6/28/19 12:30,24.436,,,,
183,6/28/19 12:45,24.629,,,,
184,6/28/19 13:00,25.307,,,,
185,6/28/19 13:15,25.355,,,,
186,6/28/19 13:30,25.623,,,,
187,6/28/19 13:45,25.744,,,,
188,6/28/19 14:00,25.647,,,,
189,6/28/19 14:15,25.453,,,,
190,6/28/19 14:30,25.113,,,,
191,6/28/19 14:45,25.016,,,,
192,6/28/19 15:00,24.919,,,,
193,6/28/19 15:15,24.677,,,,
194,6/28/19 15:30,24.581,,,,
195,6/28/19 15:45,24.508,,,,
196,6/28/19 16:00,24.412,,,,
197,6/28/19 16:15,24.388,,,,
198,6/28/19 16:30,24.267,,,,
199,6/28/19 16:45,24.098,,,,
200,6/28/19 17:00,23.881,,,,
201,6/28/19 17:15,23.833,,,,
202,6/28/19 17:30,23.497,,,,
203,6/28/19 17:45,23.521,,,,
204,6/28/19 18:00,23.424,,,,
205,6/28/19 18:15,23.256,,,,
206,6/28/19 18:30,23.304,,,,
207,6/28/19 18:45,23.208,,,,
208,6/28/19 19:00,23.352,,,,
209,6/28/19 19:15,23.16,,,,
210,6/28/19 19:30,23.16,,,,
211,6/28/19 19:45,22.896,,,,
212,6/28/19 20:00,23.04,,,,
213,6/28/19 20:15,22.944,,,,
214,6/28/19 20:30,22.968,,,,
215,6/28/19 20:45,22.8,,,,
216,6/28/19 21:00,22.848,,,,
217,6/28/19 21:15,22.753,,,,
218,6/28/19 21:30,22.776,,,,
219,6/28/19 21:45,22.753,,,,
220,6/28/19 22:00,22.872,,,,
221,6/28/19 22:15,22.824,,,,
222,6/28/19 22:30,22.776,,,,
223,6/28/19 22:45,22.753,,,,
224,6/28/19 23:00,22.729,,,,
225,6/28/19 23:15,22.681,,,,
226,6/28/19 23:30,22.681,,,,
227,6/28/19 23:45,22.705,,,,
228,6/29/19 00:00,22.633,,,,
229,6/29/19 00:15,22.633,,,,
230,6/29/19 00:30,22.633,,,,
231,6/29/19 00:45,22.633,,,,
232,6/29/19 01:00,22.609,,,,
233,6/29/19 01:15,22.657,,,,
234,6/29/19 01:30,22.633,,,,
235,6/29/19 01:45,22.705,,,,
236,6/29/19 02:00,22.681,,,,
237,6/29/19 02:15,22.585,,,,
238,6/29/19 02:30,22.633,,,,
239,6/29/19 02:45,22.609,,,,
240,6/29/19 03:00,22.537,,,,
241,6/29/19 03:15,22.609,,,,
242,6/29/19 03:30,22.585,,,,
243,6/29/19 03:45,22.609,,,,
244,6/29/19 04:00,22.609,,,,
245,6/29/19 04:15,22.633,,,,
246,6/29/19 04:30,22.561,,,,
247,6/29/19 04:45,22.633,,,,
248,6/29/19 05:00,22.585,,,,
249,6/29/19 05:15,22.585,,,,
250,6/29/19 05:30,22.657,,,,
251,6/29/19 05:45,22.585,,,,
252,6/29/19 06:00,22.561,,,,
253,6/29/19 06:15,22.657,,,,
254,6/29/19 06:30,22.561,,,,
255,6/29/19 06:45,22.537,,,,
256,6/29/19 07:00,22.657,,,,
257,6/29/19 07:15,22.561,,,,
258,6/29/19 07:30,22.681,,,,
259,6/29/19 07:45,22.657,,,,
260,6/29/19 08:00,22.681,,,,
261,6/29/19 08:15,22.657,,,,
262,6/29/19 08:30,22.848,,,,
263,6/29/19 08:45,22.848,,,,
264,6/29/19 09:00,23.28,,,,
265,6/29/19 09:15,23.232,,,,
266,6/29/19 09:30,23.376,,,,
267,6/29/19 09:45,23.424,,,,
268,6/29/19 10:00,23.376,,,,
269,6/29/19 10:15,23.424,,,,
270,6/29/19 10:30,23.28,,,,
271,6/29/19 10:45,23.4,,,,
272,6/29/19 11:00,23.424,,,,
273,6/29/19 11:15,23.448,,,,
274,6/29/19 11:30,23.521,,,,
275,6/29/19 11:45,23.569,,,,
276,6/29/19 12:00,23.617,,,,
277,6/29/19 12:15,23.737,,,,
278,6/29/19 12:30,23.881,,,,
279,6/29/19 12:45,24.026,,,,
280,6/29/19 13:00,24.146,,,,
281,6/29/19 13:15,24.219,,,,
282,6/29/19 13:30,24.315,,,,
283,6/29/19 13:45,24.412,,,,
284,6/29/19 14:00,24.532,,,,
285,6/29/19 14:15,24.653,,,,
286,6/29/19 14:30,24.702,,,,
287,6/29/19 14:45,24.677,,,,
288,6/29/19 15:00,24.557,,,,
289,6/29/19 15:15,24.388,,,,
290,6/29/19 15:30,24.291,,,,
291,6/29/19 15:45,24.195,,,,
292,6/29/19 16:00,24.122,,,,
293,6/29/19 16:15,23.905,,,,
294,6/29/19 16:30,23.761,,,,
295,6/29/19 16:45,23.665,,,,
296,6/29/19 17:00,23.545,,,,
297,6/29/19 17:15,23.352,,,,
298,6/29/19 17:30,23.352,,,,
299,6/29/19 17:45,23.136,,,,
300,6/29/19 18:00,23.376,,,,
301,6/29/19 18:15,23.256,,,,
302,6/29/19 18:30,23.088,,,,
303,6/29/19 18:45,23.16,,,,
304,6/29/19 19:00,23.112,,,,
305,6/29/19 19:15,23.016,,,,
306,6/29/19 19:30,22.8,,,,
307,6/29/19 19:45,22.92,,,,
308,6/29/19 20:00,22.872,,,,
309,6/29/19 20:15,22.824,,,,
310,6/29/19 20:30,22.776,,,,
311,6/29/19 20:45,22.657,,,,
312,6/29/19 21:00,22.585,,,,
313,6/29/19 21:15,22.489,,,,
314,6/29/19 21:30,22.561,,,,
315,6/29/19 21:45,22.537,,,,
316,6/29/19 22:00,22.609,,,,
317,6/29/19 22:15,22.561,,,,
318,6/29/19 22:30,22.561,,,,
319,6/29/19 22:45,22.537,,,,
320,6/29/19 23:00,22.561,,,,
321,6/29/19 23:15,22.441,,,,
322,6/29/19 23:30,22.465,,,,
323,6/29/19 23:45,22.465,,,,
324,6/30/19 00:00,22.513,,,,
325,6/30/19 00:15,22.441,,,,
326,6/30/19 00:30,22.441,,,,
327,6/30/19 00:45,22.393,,,,
328,6/30/19 01:00,22.369,,,,
329,6/30/19 01:15,22.417,,,,
330,6/30/19 01:30,22.393,,,,
331,6/30/19 01:45,22.345,,,,
332,6/30/19 02:00,22.393,,,,
333,6/30/19 02:15,22.393,,,,
334,6/30/19 02:30,22.298,,,,
335,6/30/19 02:45,22.298,,,,
336,6/30/19 03:00,22.321,,,,
337,6/30/19 03:15,22.393,,,,
338,6/30/19 03:30,22.369,,,,
339,6/30/19 03:45,22.298,,,,
340,6/30/19 04:00,22.321,,,,
341,6/30/19 04:15,22.345,,,,
342,6/30/19 04:30,22.298,,,,
343,6/30/19 04:45,22.321,,,,
344,6/30/19 05:00,22.321,,,,
345,6/30/19 05:15,22.274,,,,
346,6/30/19 05:30,22.321,,,,
347,6/30/19 05:45,22.321,,,,
348,6/30/19 06:00,22.25,,,,
349,6/30/19 06:15,22.321,,,,
350,6/30/19 06:30,22.393,,,,
351,6/30/19 06:45,22.369,,,,
352,6/30/19 07:00,22.321,,,,
353,6/30/19 07:15,22.417,,,,
354,6/30/19 07:30,22.441,,,,
355,6/30/19 07:45,22.441,,,,
356,6/30/19 08:00,22.465,,,,
357,6/30/19 08:15,22.585,,,,
358,6/30/19 08:30,22.705,,,,
359,6/30/19 08:45,22.8,,,,
360,6/30/19 09:00,22.968,,,,
361,6/30/19 09:15,23.088,,,,
362,6/30/19 09:30,23.064,,,,
363,6/30/19 09:45,23.112,,,,
364,6/30/19 10:00,23.521,,,,
365,6/30/19 10:15,23.328,,,,
366,6/30/19 10:30,23.376,,,,
367,6/30/19 10:45,23.328,,,,
368,6/30/19 11:00,23.424,,,,
369,6/30/19 11:15,23.545,,,,
370,6/30/19 11:30,23.593,,,,
371,6/30/19 11:45,23.713,,,,
372,6/30/19 12:00,23.809,,,,
373,6/30/19 12:15,23.954,,,,
374,6/30/19 12:30,24.171,,,,
375,6/30/19 12:45,24.412,,,,
376,6/30/19 13:00,24.702,,,,
377,6/30/19 13:15,24.919,,,,
378,6/30/19 13:30,25.113,,,,
379,6/30/19 13:45,25.331,,,,
380,6/30/19 14:00,25.501,,,,
381,6/30/19 14:15,25.72,,,,
382,6/30/19 14:30,25.793,,,,
383,6/30/19 14:45,25.963,,,,
384,6/30/19 15:00,26.036,,,,
385,6/30/19 15:15,26.012,,,,
386,6/30/19 15:30,26.207,,,,
387,6/30/19 15:45,26.158,,,,
388,6/30/19 16:00,26.061,,,,
389,6/30/19 16:15,25.987,,,,
390,6/30/19 16:30,25.841,,,,
391,6/30/19 16:45,25.598,,,,
392,6/30/19 17:00,25.307,,,,
393,6/30/19 17:15,25.113,,,,
394,6/30/19 17:30,25.065,,,,
395,6/30/19 17:45,25.113,,,,
396,6/30/19 18:00,24.992,,,,
397,6/30/19 18:15,25.016,,,,
398,6/30/19 18:30,24.992,,,,
399,6/30/19 18:45,24.871,,,,
400,6/30/19 19:00,24.436,,,,
401,6/30/19 19:15,23.954,,,,
402,6/30/19 19:30,24.195,,,,
403,6/30/19 19:45,24.291,,,,
404,6/30/19 20:00,24.388,,,,
405,6/30/19 20:15,24.363,,,,
406,6/30/19 20:30,24.195,,,,
407,6/30/19 20:45,24.098,,,,
408,6/30/19 21:00,23.881,,,,
409,6/30/19 21:15,23.833,,,,
410,6/30/19 21:30,23.857,,,,
411,6/30/19 21:45,23.833,,,,
412,6/30/19 22:00,23.833,,,,
413,6/30/19 22:15,23.641,,,,
414,6/30/19 22:30,23.617,,,,
415,6/30/19 22:45,23.088,,,,
416,6/30/19 23:00,22.824,,,,
417,6/30/19 23:15,22.776,,,,
418,6/30/19 23:30,23.112,,,,
419,6/30/19 23:45,22.944,,,,
420,7/1/19 00:00,22.872,,,,
421,7/1/19 00:15,22.968,,,,
422,7/1/19 00:30,23.04,,,,
423,7/1/19 00:45,23.112,,,,
424,7/1/19 01:00,22.992,,,,
425,7/1/19 01:15,23.04,,,,
426,7/1/19 01:30,22.992,,,,
427,7/1/19 01:45,22.872,,,,
428,7/1/19 02:00,22.848,,,,
429,7/1/19 02:15,22.776,,,,
430,7/1/19 02:30,22.729,,,,
431,7/1/19 02:45,22.681,,,,
432,7/1/19 03:00,22.633,,,,
